sys,nsersic_pred,nsersic_true,rsersic_pred,rsersic_true,thetae_pred,thetae_true
1502.0,3.547677993774414,3.2705379799842182,5.040070056915283,4.859581645414795,5.083312034606934,5.338951262166196
2587.0,4.0371413230896,4.773899209376754,4.901773452758789,4.921971399334702,4.820224761962891,4.738899069803454
2654.0,5.280114650726318,4.961506157078861,4.866491317749023,5.081291654443415,5.541114807128906,5.588037894930363
1056.0,4.658701419830322,3.856020442046401,5.01264762878418,5.460270198405542,5.031946659088135,5.075841032545882
706.0,3.078639030456543,2.986283375221697,5.024435997009277,5.044330314420376,5.082266330718994,5.181226991182625
107.0,4.416826248168945,3.96334318233501,4.87585973739624,5.037390844449303,5.027976989746094,4.958924086003093
590.0,4.195092678070068,4.380641544666018,5.005388259887695,5.245612052776157,5.049253463745117,5.430080367121404
2469.0,2.678849220275879,2.18305160633194,5.13416862487793,5.602590300503707,5.227919578552246,5.4944099631868735
2414.0,4.2701096534729,3.665379158876339,5.02846622467041,5.231528117036021,5.14845609664917,5.030145775259223
1601.0,4.659156322479248,4.703739385925158,4.912385940551758,5.229398289250697,5.234399795532227,5.32854406312498
2465.0,4.478985786437988,5.404007362224632,5.083601474761963,5.099221071621844,4.384748935699463,5.245428117496086
229.0,4.749349117279053,4.655893922162763,4.924379348754883,5.167845142537932,4.8888373374938965,4.930917488664197
916.0,3.5424981117248535,3.2477494032233545,5.02801513671875,4.9953386683009615,4.874670028686523,4.817276364313146
795.0,4.0904622077941895,3.95919483796376,5.035556793212891,5.348452596686573,5.113895893096924,5.722000171135882
3022.0,4.11175537109375,3.5759274062393898,5.010463714599609,5.636069067612105,5.250555515289307,5.29490967024566
3544.0,3.969295024871826,3.642848924232279,5.009535789489746,4.1526529011852,4.868465423583984,4.927231180251505
1074.0,4.502635955810547,4.720467563679701,4.933919906616211,4.659592219657613,4.83475923538208,4.789402124955663
3352.0,3.2513904571533203,2.9214814763897574,5.073062896728516,4.844618459556118,5.108663558959961,5.1405237054693655
1745.0,4.5668182373046875,5.261830852661215,4.939533710479736,5.508444071746782,4.910785675048828,4.968885010672058
1085.0,4.413363456726074,4.435707425376632,4.966985702514648,4.823908601481931,4.815314292907715,4.96284193978136
927.0,3.5644285678863525,3.3951649944740523,5.112685203552246,5.377453338567945,5.196747779846191,5.648589919220012
3050.0,4.5995025634765625,4.47723193260455,4.903639316558838,4.9842756183500425,4.790189266204834,5.11951100394023
1118.0,3.812486171722412,3.611675005118536,4.897481918334961,5.432017725769727,4.759071350097656,4.718205450041358
643.0,3.507946014404297,3.3205989592996232,5.007465362548828,4.852033012582082,4.863953590393066,4.826515945893337
4768.0,4.650221824645996,4.733304530327721,4.9188337326049805,5.32603368973278,4.843149185180664,5.038106156327521
502.0,3.6739563941955566,3.58136453181495,5.071009159088135,5.199784890557067,5.204288482666016,5.269820828202885
4067.0,4.072879314422607,3.959064087083113,4.957303047180176,4.833246773323628,5.106842041015625,5.107034061793062
334.0,4.081748008728027,5.212997968475853,5.024233818054199,4.993786812488549,5.171322345733643,4.948537255721461
4685.0,4.642858505249023,4.447806247371892,5.039107322692871,5.000292819262592,4.869568347930908,5.445218670219051
487.0,4.541297912597656,5.462884253200883,4.96546745300293,4.935728588365175,4.8912787437438965,4.999298322271222
1963.0,4.395747661590576,3.774563270086844,4.973999977111816,5.1207470676647775,5.075491428375244,5.2055709319510175
394.0,4.495556354522705,4.583712343751723,4.763788223266602,4.892694424893088,4.68631649017334,4.571636098234986
4843.0,4.330476760864258,4.164074957099,4.935953140258789,5.232424138595141,4.8489580154418945,4.633689455320627
4867.0,3.1574130058288574,3.5383812561317063,5.025237083435059,5.12401337666767,4.881067276000977,5.128344297874066
1756.0,4.843999862670898,4.602573150313113,4.955712795257568,4.688769504387568,4.990941524505615,5.240847899476678
2516.0,2.8281612396240234,2.620779013442019,5.09979772567749,5.200769005065584,5.01710319519043,4.7170111841163855
3586.0,4.003418922424316,4.184388021088813,5.015906810760498,4.660082484805972,5.052996635437012,5.266055385347257
4316.0,4.692197799682617,4.272114730468188,4.913018226623535,5.299955708743108,4.896818161010742,5.047795834595257
4967.0,4.709406852722168,4.225916099786405,4.8170061111450195,5.157972555032277,4.951669692993164,4.964135971193833
